entry,class,source,form,title,location,published,corrected,note,claim_ids
1,quantity,pipeline,full,The elite sample did not read for 25 to 45 seconds less,published p. 72,"On average, our elite sample spent [[25–45]] seconds less time reading our treatment articles than the MTurk sample.","On average, our elite sample spent [[17.4]] seconds less time reading our treatment articles than the MTurk sample.","Across the four op-eds both samples saw, the elite deficit in trimmed mean reading time is 45.6 seconds on the flat tax piece, 28.5 seconds on the Wall Street piece and 26.4 seconds on the Amtrak piece, and on the veterans piece the elite sample spent 30.7 seconds **more**, not less. The published range brackets the two arms the deposit's `opeds_compliance.R` computes, the Amtrak and flat tax pieces; the two it does not compute are the ones that break the range.",s2_reading_gap_low;s2_reading_gap_high
2,quantity,pipeline,full,The elite main-effect significance level,published p. 73,"Turning first to main dependent variables, we found statistically significant treatment effects for three of the four treatments (Amtrak, Flat Tax, Wall Street) at p < [[0.001]], but did not for the Veterans op-ed treatment.","Turning first to main dependent variables, we found statistically significant treatment effects for three of the four treatments (Amtrak, Flat Tax, Wall Street) at p < [[0.01]], but did not for the Veterans op-ed treatment.","The flat tax effect on its main dependent variable has p = 0.0042. Table 6 prints it as `0.411***` under a legend whose strongest level is p < 0.01, so the table and the sentence disagree about the same estimate. The Amtrak and Wall Street effects are significant at 0.001; the flat tax effect is not.",s2_main_sig_p
3,quantity,pipeline,full,"Table 7 has twelve non-target cells, not sixteen",published p. 74,"Of the [[16]] treatment effects on non-target issues, only one is statistically significant (Amtrak op-ed on Veterans outcome).","Of the [[12]] treatment effects on non-target issues, only one is statistically significant (Amtrak op-ed on Veterans outcome).","Table 7 estimates four op-ed effects on each of four composite scales, so it holds 16 coefficients, of which four are on target and 12 are not. The parallel sentence about Table 3 counts correctly: five op-eds by five outcomes is 25 coefficients and 20 non-target ones.",s2_nontarget_cells
4,quantity,pipeline,full,The number of elite subjects who completed the survey,published p. 72,"This procedure yielded [[2,169]] subjects who completed our survey.","This procedure yielded [[2,181]] subjects who completed our survey.","Table 5, at the top of the same page, gives 2,181 as its own total, and that is the number of rows in the deposited elite data. Tables 6 and 7 report the same figure as their N.",s2_completed
5,quantity,pipeline,full,The number of elite subjects who responded in Wave 2,published p. 72,"As in the MTurk study, we asked subjects to participate in a follow-up survey after 10 days; after two reminders, we obtained [[1,349]] complete responses.","As in the MTurk study, we asked subjects to participate in a follow-up survey after 10 days; after two reminders, we obtained [[1,358]] complete responses.","Table 5's Responded row totals 1,358.",s2_w2_complete
6,quantity,pipeline,full,The number of subjects enrolled on Mechanical Turk,published p. 66,"We enrolled [[3,567]] subjects on Amazon's Mechanical Turk (MTurk) in a three-wave panel survey.","We enrolled [[3,571]] subjects on Amazon's Mechanical Turk (MTurk) in a three-wave panel survey.","Table 1 gives 3,571 as its own total, and every column of Tables 3 and 4 reports the same figure as its N.",s1_enrolled
7,quantity,pipeline,full,The range of average treatment effects reported in the Discussion,published p. 82,"In both studies of the mass public and elites, we find large, statistically significant average treatment effects of op-eds between [[0.30 and 0.50]] standard deviations on policy attitudes.","In both studies of the mass public and elites, we find large, statistically significant average treatment effects of op-eds between [[0.28 and 0.52]] standard deviations on policy attitudes.","The sentence pairs one figure with each study, so the two numbers are the study-level means over the on-target composite scales: 0.283 across the 4 elite op-eds and 0.522 across the 5 on Mechanical Turk. Neither figure is hedged, so the interval is asserted as printed, and both means fall outside it. The individual effects run wider still, from 0.104 to 0.698.",disc_effect_low;disc_effect_high
8,bibliographic,reference_audit,brief,"Traverso is misspelled, in the reference list and in the text",published p. 84,"Ciofalo, A. and K. [[Traveso]]. 1994.","Ciofalo, A. and K. Traverso. 1994.","Crossref, doi 10.1177/073953299401500407: Ciofalo, Andrew, and Kim Traverso. The same misspelling appears in the two in-text citations, on pp. 61 and 63.",
9,bibliographic,reference_audit,brief,"Calavita and Krumholz (2003) is printed as one author, filed under his given name",published p. 86,"[[Nico Calavita, N. K.]] 2003.","Calavita, N. and N. Krumholz. 2003.","Crossref, doi 10.1177/0739456x03022004006: Calavita, Nico, and Norman Krumholz. The first author's given name was taken as part of his surname and the second author's initials were folded onto it, leaving one author where there are two. The in-text citation on p. 60 reads ""Nico Calavita, 2003"" and should read ""Calavita and Krumholz, 2003"".",
10,bibliographic,reference_audit,brief,"Two authors of Page, Shapiro and Dempsey (1987) are given by their given names",published p. 86,"Page, B. I., [[Y. S. Robert, and D. Glenn]]. 1987. ""What Moves Public Opinion?"" American Political Science Review [[81]].","Page, B. I., R. Y. Shapiro, and G. R. Dempsey. 1987. ""What Moves Public Opinion?"" American Political Science Review 81(1): 23--43.","Crossref, doi 10.2307/1960777: Page, Benjamin I., Robert Y. Shapiro and Glenn R. Dempsey, American Political Science Review 81(1): 23--43. Robert Shapiro's and Glenn Dempsey's given names were taken for their surnames, and the entry breaks off after the volume number. The in-text citation on p. 63 gives ""Page et al. (1987)"" correctly.",
